city,lat,lon,max temp,humidity,cloudiness,wind_speed,country,date
verkhniy baskunchak,43.32,145.57,69.8,94,75,9.17,JP,1596329756
sirjan,-5.08,-37.62,77.4,67,26,10.67,BR,1596329540
pryozerne,18.39,42.45,66.2,93,47,7.18,SA,1596329757
acajutla,14.48,79.98,83.61,67,100,8.01,IN,1596329757
qaanaaq,6.98,35.58,60.26,85,40,2.8,ET,1596329757
prince rupert,-6.98,-34.83,73.4,94,14,3.36,BR,1596329755
severo-kurilsk,9.49,50.81,77.22,68,98,25.88,SO,1596329758
tromso,67.45,153.68,59.58,51,39,6.35,RU,1596329758
nizwa,-20.52,57.52,71.6,73,75,16.11,MU,1596329758
pimentel,-20.32,118.57,73.4,18,0,4.7,AU,1596329759
port macquarie,64.89,-23.71,48.52,91,100,16.31,IS,1596329759
jacarezinho,65.75,150.85,66.07,45,0,2.17,RU,1596329759
myaundzha,-35.53,144.97,53.01,77,36,7.76,AU,1596329760
ghansor,20.7,-105.2,87.8,62,75,9.17,MX,1596329760
emba,7.37,12.65,64.08,98,100,2.15,CM,1596329760
chapais,37.2,-94.35,82.4,48,75,3.47,US,1596329760
sangar,-14.25,129.55,77,27,0,8.01,AU,1596329761
poronaysk,31.35,27.25,75.2,88,0,11.41,EG,1596329761
darnah,63.44,-20.27,52.11,92,96,13.91,IS,1596329761
sitka,-33.41,-56.5,59.45,94,100,13.18,UY,1596329752
doha,11.87,75.36,75.4,93,100,3.22,IN,1596329762
thiruvananthapuram,11.95,108.44,63.63,100,100,7.63,VN,1596329762
touros,50.32,11.92,66,84,100,1.99,DE,1596329763
ngukurr,5.97,116.07,82,65,20,6.93,MY,1596329763
sentyabrskiy,37.72,-25.43,68,77,20,4.7,PT,1596329488
paracuru,35.26,-118.91,100.99,15,1,17.22,US,1596329763
turayf,42.9,133.91,73.78,79,100,3.18,RU,1596329763
santa barbara,-10.45,161.92,84.65,68,20,3.33,SB,1596329764
nemuro,1.67,-78.14,76.44,92,100,2.24,CO,1596329764
barauna,63.84,-22.43,50,100,90,14.99,IS,1596329764
faya,51.38,1.39,66,72,8,5.01,GB,1596329556
kovur,28.07,95.33,82.94,72,62,0.72,IN,1596329765
mizan teferi,48.65,-53.11,57.99,77,100,1.99,CA,1596329765
cabedelo,33.19,-82.53,86,55,1,5.82,US,1596329765
bandarbeyla,19.93,-105.25,82.78,72,100,3.85,MX,1596329766
gulshat,-8.12,111.89,74.88,77,48,7.52,ID,1596329766
srednekolymsk,55.84,48.66,60.8,93,75,13.42,RU,1596329766
souillac,62.55,155.55,52.57,53,100,9.22,RU,1596329767
port hedland,28.66,-17.92,73.4,78,92,12.75,ES,1596329767
olafsvik,49.6,117.43,68.92,71,100,10.89,CN,1596329767
zyryanka,34.74,60.78,66.83,35,0,7.05,IR,1596329767
inderborskiy,7.69,-5.02,71.6,100,40,9.17,CI,1596329768
deniliquin,40.28,97.2,72.07,19,83,17.31,CN,1596329768
ixtapa,39.93,119.59,83.53,74,95,4.32,CN,1596329768
tignere,8.46,25.68,69.71,96,100,2.86,SS,1596329768
jasper,-31.42,-64.5,70,59,40,13.87,AR,1596329567
port keats,-32.03,-52.1,53.01,96,0,10.71,BR,1596329769
marsa matruh,49.2,-113.3,84.2,54,75,5.82,CA,1596329769
achisay,68.22,-135.01,62.6,67,75,12.75,CA,1596329769
vestmannaeyjar,26.54,-77.06,83.26,81,100,31.32,BS,1596329770
durazno,6.71,7.32,69.03,96,100,5.21,NG,1596329770
kannur,-19.55,169.27,75.2,78,90,17.22,VU,1596329770
da lat,-1.8,-53.48,80.1,62,92,2.77,BR,1596329771
hof,-16.7,-151.02,79.56,78,0,12.08,PF,1596329771
kota kinabalu,-6.64,-51.99,72.05,50,14,1.66,BR,1596329771
vila franca do campo,71.92,114.08,69.44,44,100,8.1,RU,1596329772
lamont,0.53,72.93,82.62,78,85,11.03,MV,1596329772
preobrazheniye,51.09,54.08,72.28,32,0,8.3,KZ,1596329772
kirakira,37.73,-25.67,68,77,20,4.7,PT,1596329772
barbacoas,12.68,124.36,82.53,74,100,4.29,PH,1596329773
grindavik,58.95,36.6,46.49,96,0,5.23,RU,1596329773
margate,32.93,73.73,82.35,75,10,6.69,PK,1596329773
pasighat,2.04,45.34,76.95,76,17,20.96,SO,1596329773
